generated,ZINC000018043251,ZINC000000897089,ZINC000000537964,ZINC000019796168,ZINC000013818943,ZINC000000608213,ZINC000000002226,ZINC000001530968,ZINC000000538275,ZINC000013763987,ZINC000000591993,ZINC000019632706,ZINC000000001084,ZINC000003874185,ZINC000019632912,ZINC000004340269,ZINC000000057674,ZINC000001530689,ZINC000000001290,ZINC000000897085,ZINC000003869685,ZINC000003807804,ZINC000000403567,ZINC000003871576,ZINC000000607971,ZINC000000896740,ZINC000000596881,ZINC000000643055,ZINC000085205448
4eiy_inpaint.sdf#99,0.082353,0.098039,0.098039,0.114035,0.146789,0.048780,0.067416,0.048780,0.125000,0.056818,0.130000,0.130000,0.083333,0.098039,0.144444,0.068966,0.082353,0.097826,0.076923,0.098039,0.063830,0.076923,0.088889,0.065934,0.069307,0.069307,0.069307,0.069307,0.131868
4eiy_inpaint.sdf#100,0.062500,0.109375,0.109375,0.075000,0.050000,0.022727,0.038462,0.022727,0.085714,0.040000,0.090909,0.090909,0.063830,0.109375,0.068966,0.040000,0.020000,0.052632,0.048780,0.109375,0.017241,0.036364,0.055556,0.018182,0.063492,0.063492,0.063492,0.063492,0.087719
4eiy_inpaint.sdf#101,0.080000,0.088235,0.088235,0.072289,0.074074,0.043478,0.055556,0.066667,0.097222,0.037736,0.056338,0.056338,0.081633,0.088235,0.031746,0.057692,0.080000,0.032787,0.045455,0.088235,0.068966,0.034483,0.071429,0.072727,0.029412,0.029412,0.029412,0.029412,0.065574
4eiy_inpaint.sdf#102,0.040000,0.074627,0.074627,0.060976,0.062500,0.179487,0.057692,0.243243,0.100000,0.104167,0.089552,0.089552,0.040816,0.074627,0.067797,0.081633,0.061224,0.109091,0.157895,0.074627,0.132075,0.094340,0.054545,0.117647,0.114754,0.114754,0.114754,0.114754,0.086207
4eiy_inpaint.sdf#103,0.079365,0.060241,0.060241,0.107527,0.086022,0.016393,0.075758,0.033333,0.056818,0.029851,0.085366,0.085366,0.080645,0.060241,0.082192,0.029851,0.079365,0.069444,0.071429,0.060241,0.055556,0.042254,0.121212,0.057971,0.037037,0.037037,0.037037,0.037037,0.082192
4eiy_inpaint.sdf#104,0.085106,0.044118,0.044118,0.075000,0.063291,0.022727,0.058824,0.022727,0.055556,0.040000,0.058824,0.058824,0.086957,0.044118,0.033333,0.040000,0.062500,0.016949,0.023810,0.044118,0.053571,0.036364,0.096154,0.056604,0.030769,0.030769,0.030769,0.030769,0.068966
4eiy_inpaint.sdf#105,0.122807,0.076923,0.076923,0.087912,0.065934,0.054545,0.063492,0.035714,0.059524,0.031746,0.062500,0.062500,0.105263,0.076923,0.041667,0.031746,0.084746,0.028169,0.037037,0.076923,0.058824,0.044776,0.111111,0.061538,0.052632,0.052632,0.052632,0.052632,0.071429
4eiy_inpaint.sdf#106,0.087719,0.078947,0.078947,0.114943,0.104651,0.037037,0.083333,0.056604,0.087500,0.067797,0.092105,0.092105,0.089286,0.078947,0.089552,0.016129,0.050847,0.092308,0.102041,0.078947,0.044776,0.046154,0.133333,0.046875,0.054054,0.054054,0.054054,0.054054,0.089552
4eiy_inpaint.sdf#107,0.060000,0.089552,0.089552,0.086420,0.048780,0.044444,0.037037,0.044444,0.083333,0.038462,0.072464,0.072464,0.061224,0.089552,0.066667,0.000000,0.019231,0.050847,0.046512,0.089552,0.033898,0.035088,0.053571,0.017544,0.061538,0.061538,0.061538,0.061538,0.084746
4eiy_inpaint.sdf#108,0.078125,0.085366,0.085366,0.094737,0.096774,0.032787,0.058824,0.050000,0.068182,0.029412,0.084337,0.084337,0.079365,0.085366,0.052632,0.029412,0.078125,0.054054,0.051724,0.085366,0.069444,0.071429,0.086957,0.057143,0.062500,0.062500,0.062500,0.062500,0.066667
4eiy_inpaint.sdf#109,0.037037,0.117647,0.117647,0.058140,0.059524,0.136364,0.072727,0.136364,0.094595,0.075472,0.069444,0.069444,0.037736,0.117647,0.046875,0.055556,0.120000,0.065574,0.116279,0.117647,0.207547,0.068966,0.050847,0.173077,0.074627,0.074627,0.074627,0.074627,0.080645
4eiy_inpaint.sdf#110,0.053571,0.097222,0.097222,0.044444,0.082353,0.060000,0.050847,0.060000,0.076923,0.052632,0.052632,0.052632,0.054545,0.097222,0.044776,0.034483,0.072727,0.046154,0.062500,0.097222,0.063492,0.048387,0.065574,0.066667,0.056338,0.056338,0.041667,0.041667,0.060606
4eiy_inpaint.sdf#111,0.076923,0.134328,0.134328,0.070588,0.098765,0.111111,0.072727,0.136364,0.109589,0.096154,0.166667,0.166667,0.078431,0.134328,0.155172,0.096154,0.120000,0.140351,0.170732,0.134328,0.122807,0.107143,0.087719,0.129630,0.107692,0.107692,0.090909,0.090909,0.135593
4eiy_inpaint.sdf#112,0.155556,0.090909,0.090909,0.101266,0.075949,0.022222,0.078431,0.045455,0.084507,0.039216,0.057971,0.057971,0.108696,0.090909,0.067797,0.060000,0.061224,0.033898,0.047619,0.090909,0.071429,0.035714,0.137255,0.075472,0.030303,0.030303,0.030303,0.030303,0.067797
4eiy_inpaint.sdf#113,0.125000,0.104478,0.104478,0.098765,0.074074,0.043478,0.096154,0.043478,0.097222,0.057692,0.086957,0.086957,0.127660,0.104478,0.083333,0.037736,0.080000,0.050000,0.069767,0.104478,0.087719,0.052632,0.111111,0.072727,0.060606,0.060606,0.060606,0.060606,0.101695
4eiy_inpaint.sdf#115,0.065574,0.103896,0.103896,0.075269,0.101124,0.072727,0.062500,0.053571,0.071429,0.064516,0.102564,0.102564,0.066667,0.103896,0.055556,0.031250,0.048387,0.057143,0.075472,0.103896,0.057971,0.044118,0.059701,0.060606,0.051948,0.051948,0.038462,0.038462,0.117647
